../jeu_100_25_4.txt_3_best	../jeu_100_25_4.txt_3_current	
0	 2237.4	 2237.4
1	 3937.12	 2019.2
2	 5741.9	 2492
3	 5741.9	 -91.4
4	 5741.9	 -134
5	 8684.54	 5183.2
6	 8684.54	 -122
7	 9270.43	 2197.4
8	 9987.34	 2529.6
9	 9987.34	 -97.4
10	 9987.34	 -159.4
11	 9987.34	 1658.2
12	 10470.1	 2363.4
13	 10470.1	 -95.4
14	 10470.1	 1752
15	 10470.1	 -117.4
16	 10470.1	 -79
17	 10470.1	 -124.6
18	 10470.1	 -117.6
19	 10470.1	 -128.6
20	 10470.1	 -143
21	 10505.7	 2054.2
22	 10505.7	 -162.8
23	 11220.5	 2741.2
24	 11220.5	 -139
25	 11780.7	 5000.4
26	 11780.7	 -152.8
27	 11780.7	 -169.8
28	 11780.7	 2114.8
29	 11868.4	 2322.4
30	 11868.4	 4498.2
31	 11868.4	 -137.2
32	 12361.7	 2795.4
33	 12361.7	 2331.2
34	 12361.7	 -50.2
35	 12361.7	 -120.8
36	 12361.7	 2324.6
37	 12361.7	 -114.8
38	 12361.7	 -69
39	 12361.7	 1952.8
40	 12554.4	 2568.2
41	 12554.4	 -87.6
42	 12584.7	 2438.6
43	 12584.7	 -93
44	 12846.7	 2657.4
45	 12855.8	 2495
46	 12855.8	 -72.2
47	 13196.6	 7392
48	 13563.8	 5555.4
49	 13563.8	 -126.4
50	 13563.8	 -109.4
51	 13773.6	 5348.2
52	 13773.6	 1942
53	 13773.6	 4595.4
54	 13773.6	 -45
55	 13773.6	 -142
56	 14076.2	 8158.6
57	 14076.2	 -178
58	 14076.2	 4608.4
59	 14076.2	 2532.6
60	 14076.2	 2483
61	 14076.2	 2211.4
62	 14076.2	 -210.8
63	 14076.2	 -175.4
64	 14076.2	 -67
65	 14076.2	 -119.6
66	 14145.3	 5488
67	 14145.3	 2138
68	 14145.3	 7115.2
69	 14145.3	 -141.6
70	 14145.3	 -109
71	 14145.3	 -136.6
72	 14145.3	 -100.4
73	 14145.3	 -90
74	 14145.3	 -79
75	 14145.3	 2680.2
76	 14145.3	 2468
77	 14145.3	 -97.2
78	 14145.3	 -148.8
79	 14145.3	 4634
80	 14145.3	 3859.8
81	 14145.3	 2565.6
82	 14145.3	 2072.8
83	 14145.3	 -127.6
84	 14145.3	 2255.8
85	 14145.3	 2456
86	 14145.3	 -120.6
87	 14145.3	 1628.6
88	 14145.3	 -89.6
89	 14145.3	 -101.8
90	 14145.3	 2400.4
91	 14145.3	 2549.4
92	 14145.3	 4857.6
93	 14145.3	 -123.2
94	 14145.3	 2148.6
95	 14145.3	 2450.4
96	 14145.3	 -157.4
97	 14145.3	 5211
98	 14145.3	 2545
99	 14145.3	 2271.8
100	 14145.3	 -71.4
101	 14145.3	 2326
102	 14145.3	 -89.6
103	 14145.3	 -163.6
104	 14145.3	 -122.8
105	 14145.3	 -102.4
106	 14145.3	 2403
107	 14153.5	 2764.6
108	 14153.5	 2633.4
109	 14153.5	 4578.6
110	 14153.5	 2138.4
111	 14153.5	 -110.6
112	 14153.5	 -114
113	 14309.4	 2920.2
114	 14309.4	 7531.8
115	 14309.4	 2183.2
116	 14309.4	 -123.2
117	 14309.4	 1960.4
118	 14309.4	 2195.6
119	 14309.4	 2072.4
120	 14309.4	 2448.6
121	 14309.4	 4529.2
122	 14309.4	 -139
123	 14309.4	 -140.2
124	 14309.4	 -109.6
125	 14309.4	 2525.8
126	 14309.4	 2482.2
127	 14309.4	 -133.8
128	 14309.4	 2294.2
129	 14309.4	 4417.6
130	 14309.4	 -140.2
131	 14309.4	 2764.4
132	 14309.4	 2730.2
133	 14309.4	 2419.4
134	 14309.4	 -201.6
135	 14309.4	 4438
136	 14309.4	 -118.4
137	 14309.4	 2506.8
138	 14309.4	 4580.4
139	 14309.4	 -136.6
